"Level1","OutletZone","OutletName","Division","Category_Level_1","Category_Level_2","Category_Level_3","Article_Code","Article_Name","ThisSales","LastSales","DiffSales","ChangePerctgSales","MixSales","ThisSalesQTY","LastSalesQTY","DiffSalesQTY","ChangePercgSalesQTY","ThisFootfall","LastFootfall","DiffFootfall","ChangePercFootfall","ThisBasketValue","LastBasketValue","DiffBasketValue","ChangePercBasketValue","ThisGPPerc","LastGPPerc","DiffGPerc","ThisGPV","LastGPV","DiffGPV","ChangePercGPV"
"National","","","","","","","","","445893488.8","430637717.16","15255771.64","3.5425","1","0","0","0","0","542891","497803","45088","9.0573","821.33","865.08","-43.75","-5.0573","0","0","0","0","0","0","0"
"National","MR. MAHBUB","","","","","","","","113757455.16","116345785.66","-2588330.5","-2.2246","2","0","0","0","0","140202","147964","-7762","-5.2458","1622.76","1572.62","50.14","3.1883","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C001-CTG Gol Pahar","","","","","","","5011097.8","6503792.78","-1492694.98","-22.9511","1","0","0","0","0","5473","6958","-1485","-21.3423","915.6","934.72","-19.12","-2.0455","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C009-Hali Shohor","","","","","","","4915721.95","4790680.85","125041.1","2.61","1","0","0","0","0","4862","5517","-655","-11.8723","1011.05","868.35","142.7","16.4334","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C011-Comilla Outlet","","","","","","","0","9112489.92","-9112489.92","-100","2","0","0","0","0","0","12844","-12844","-100","0","1418.94","-1418.94","-100","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C011-Comilla Outlet","4421-Home Delivery","","","","","","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C011-Comilla Outlet","4421-Home Delivery","","","","4400021","4400021-Home Delivery","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C011-Comilla Outlet","COMPANY GOODS","","","","","","0","3703490.18","-3703490.18","-100","8","0","0","0","0","0","8462","-8462","-100","0","875.32","-875.32","-100","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C011-Comilla Outlet","COMPANY GOODS","","","","2303864","Seylon Tea Priojon Surprise Pack 400g","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C011-Comilla Outlet","COMPANY GOODS","","","","2303868","Taaza Tea 400g(By1 Gt1 Horl.75g Free)BD","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C011-Comilla Outlet","COMPANY GOODS","","","","2603980","Trix Liquid Lemon 250ml(B2 Seve tk.20/-)","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C011-Comilla Outlet","COMPANY GOODS","","","","2603981","Harpic&Lizol 500ml(Buy2 Save tk.30/)","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C011-Comilla Outlet","COMPANY GOODS","","","","2704082","Herman Apple Cider Vinegar 473ml(Mother)","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
