"Level1","OutletZone","OutletName","Division","Category_Level_1","Category_Level_2","Category_Level_3","Article_Code","Article_Name","ThisSales","LastSales","DiffSales","ChangePerctgSales","MixSales","ThisSalesQTY","LastSalesQTY","DiffSalesQTY","ChangePercgSalesQTY","ThisFootfall","LastFootfall","DiffFootfall","ChangePercFootfall","ThisBasketValue","LastBasketValue","DiffBasketValue","ChangePercBasketValue","ThisGPPerc","LastGPPerc","DiffGPerc","ThisGPV","LastGPV","DiffGPV","ChangePercGPV"
"National","","","","","","","","","445893488.8","430637717.16","15255771.64","3.5425","1","0","0","0","0","542891","497803","45088","9.0573","821.33","865.08","-43.75","-5.0573","0","0","0","0","0","0","0"
"National","MR. MAHBUB","","","","","","","","113757455.16","116345785.66","-2588330.5","-2.2246","2","0","0","0","0","140202","147964","-7762","-5.2458","1622.76","1572.62","50.14","3.1883","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C001-CTG Gol Pahar","","","","","","","10022195.6","13007585.56","-2985389.96","-22.9511","2","0","0","0","0","10946","13916","-2970","-21.3423","1831.2","1869.44","-38.24","-2.0455","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C001-CTG Gol Pahar","COMPANY GOODS","","","","","","5239813.2","6604923.22","-1365110.02","-20.668","8","0","0","0","0","9352","10578","-1226","-11.59","2122.92","1248.8","874.12","69.9967","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C001-CTG Gol Pahar","COMPANY GOODS","","","","2303860","Nutrilife Apple Fruit Magic 160ml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C001-CTG Gol Pahar","COMPANY GOODS","","","","2303862","Nutrilife Guava Fruit Magic 160ml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C001-CTG Gol Pahar","COMPANY GOODS","","","","2303868","Taaza Tea 400g(By1 Gt1 Horl.75g Free)BD","8127.16","0","0","0","1","0","0","0","0","33","0","0","0","246.28","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C001-CTG Gol Pahar","COMPANY GOODS","","","","2603979","Vim Dish Wash Bar 300g(B2 G75ml Lq.Free)","5491.2","0","0","0","1","0","0","0","0","75","0","0","0","73.22","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C001-CTG Gol Pahar","COMPANY GOODS","","","","2603985","Vim DW.Liquid 500ml(By1 Gt1 Box Free)BD","1320","0","0","0","1","0","0","0","0","9","0","0","0","146.67","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C001-CTG Gol Pahar","COMPANY GOODS","","","","2816318","Chopstick Noodles Deshi Masala 744g","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C001-CTG Gol Pahar","COMPANY GOODS","","","","2816319","Chopstick Noodles Yummy Masala 744g","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. MAHBUB","C001-CTG Gol Pahar","COMPANY GOODS","","","","2816320","Ruchi Jhal Chanachur 500g","600","0","0","0","1","0","0","0","0","6","0","0","0","100","0","0","0","0","0","0","0","0","0","0"
