"Level1","OutletZone","OutletName","Division","Category_Level_1","Category_Level_2","Category_Level_3","Article_Code","Article_Name","ThisSales","LastSales","DiffSales","ChangePerctgSales","MixSales","ThisSalesQTY","LastSalesQTY","DiffSalesQTY","ChangePercgSalesQTY","ThisFootfall","LastFootfall","DiffFootfall","ChangePercFootfall","ThisBasketValue","LastBasketValue","DiffBasketValue","ChangePercBasketValue","ThisGPPerc","LastGPPerc","DiffGPerc","ThisGPV","LastGPV","DiffGPV","ChangePercGPV"
"National","","","","","","","","","445893488.8","430637717.16","15255771.64","3.5425","1","0","0","0","0","542891","497803","45088","9.0573","821.33","865.08","-43.75","-5.0573","0","0","0","0","0","0","0"
"National","MR. BIDDUT","","","","","","","","109852332.24","118699142.8","-8846810.56","-7.4531","2","0","0","0","0","113210","118086","-4876","-4.1291","1940.68","2010.38","-69.7","-3.467","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","","","","","","","32464456.62","35395790.7","-2931334.08","-8.2815","2","0","0","0","0","21970","24810","-2840","-11.4469","2955.34","2853.34","102","3.5747","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","4421-Home Delivery","","","","","","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","4421-Home Delivery","","","","4400021","4400021-Home Delivery","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","","","12614734.52","16682561.66","-4067827.14","-24.3837","8","0","0","0","0","17402","18274","-872","-4.7718","2880.22","1825.82","1054.4","57.7493","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2102199","Bebble Detangling Conditioner 150ml","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2102227","MamyPoko Pant Diapers M96pcs 712Kg","3584","0","0","0","1","0","0","0","0","2","0","0","0","1792","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2102229","MamyPoko Pant Diapers L80pcs 914Kg","1792","0","0","0","1","0","0","0","0","1","0","0","0","1792","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2102230","MamyPoko Pant Diapers XL66pcs 1217Kg","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2102231","MamyPoko Pant Diapers XXL44pcs 1525Kg","4476","0","0","0","1","0","0","0","0","3","0","0","0","1492","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2200711","Nestle Nido Forti Grow 500g BD","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2303859","Nutrilife Orange Fruit Magic 160ml","140","0","0","0","1","0","0","0","0","4","0","0","0","35","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2303860","Nutrilife Apple Fruit Magic 160ml","35","0","0","0","1","0","0","0","0","1","0","0","0","35","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2303863","Nutrilife Mango Fruit Magic 160ml","280","0","0","0","1","0","0","0","0","4","0","0","0","70","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2303864","Seylon Tea Priojon Surprise Pack 400g","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2303868","Taaza Tea 400g(By1 Gt1 Horl.75g Free)BD","1791","0","0","0","1","0","0","0","0","8","0","0","0","223.88","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2603974","Attack Det.Powder Ultra Power 800g","1575","0","0","0","1","0","0","0","0","3","0","0","0","525","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2603975","Attack Detergent Powder+Color 800g","1023.75","0","0","0","1","0","0","0","0","2","0","0","0","511.88","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2603976","Attack Det.Powder Ultra Power 3kg","1875","0","0","0","1","0","0","0","0","1","0","0","0","1875","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2603981","Harpic&Lizol 500ml(Buy2 Save tk.30/)","490","0","0","0","1","0","0","0","0","2","0","0","0","245","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2603985","Vim DW.Liquid 500ml(By1 Gt1 Box Free)BD","330","0","0","0","1","0","0","0","0","1","0","0","0","330","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2704082","Herman Apple Cider Vinegar 473ml(Mother)","315","0","0","0","1","0","0","0","0","1","0","0","0","315","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2704083","Herman Apple Cider Vinegar 473ml(BOGOF)","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2816318","Chopstick Noodles Deshi Masala 744g","1400","0","0","0","1","0","0","0","0","7","0","0","0","200","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2816319","Chopstick Noodles Yummy Masala 744g","2790","0","0","0","1","0","0","0","0","12","0","0","0","232.5","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2816326","AG Food Chicken Salami 200g","1840","0","0","0","1","0","0","0","0","8","0","0","0","230","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","2816327","AG Food Keema Paratha 250g","100","0","0","0","1","0","0","0","0","1","0","0","0","100","0","0","0","0","0","0","0","0","0","0"
"National","MR. BIDDUT","D007-Green Road","COMPANY GOODS","","","","3017006","Laurier Night Safe S. Napkin 40cm 8 Pads","400","0","0","0","1","0","0","0","0","1","0","0","0","400","0","0","0","0","0","0","0","0","0","0"
