"Level1","OutletZone","OutletName","Division","Category_Level_1","Category_Level_2","Category_Level_3","Article_Code","Article_Name","ThisSales","LastSales","DiffSales","ChangePerctgSales","MixSales","ThisSalesQTY","LastSalesQTY","DiffSalesQTY","ChangePercgSalesQTY","ThisFootfall","LastFootfall","DiffFootfall","ChangePercFootfall","ThisBasketValue","LastBasketValue","DiffBasketValue","ChangePercBasketValue","ThisGPPerc","LastGPPerc","DiffGPerc","ThisGPV","LastGPV","DiffGPV","ChangePercGPV"
"National","","","","","","","","","445893488.8","430637717.16","15255771.64","3.5425","1","0","0","0","0","542891","497803","45088","9.0573","821.33","865.08","-43.75","-5.0573","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","","","","","","","","53391352.3","44366268.26","9025084.04","20.3422","2","0","0","0","0","95582","83480","12102","14.4968","1117.18","1062.92","54.26","5.1048","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","","","","","","","2331793.3","1815724.54","516068.76","28.4221","2","0","0","0","0","3654","3288","366","11.1313","1276.3","1104.46","171.84","15.5587","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","","","1891322.14","1423114.68","468207.46","32.9001","8","0","0","0","0","4014","2994","1020","34.0681","1719.96","950.64","769.32","80.9265","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","2200711","Nestle Nido Forti Grow 500g BD","704.76","0","0","0","1","0","0","0","0","2","0","0","0","352.38","0","0","0","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","2603980","Trix Liquid Lemon 250ml(B2 Seve tk.20/-)","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","2603981","Harpic&Lizol 500ml(Buy2 Save tk.30/)","233.33","0","0","0","1","0","0","0","0","1","0","0","0","233.33","0","0","0","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","2704082","Herman Apple Cider Vinegar 473ml(Mother)","600","0","0","0","1","0","0","0","0","2","0","0","0","300","0","0","0","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","2704083","Herman Apple Cider Vinegar 473ml(BOGOF)","261.9","0","0","0","1","0","0","0","0","1","0","0","0","261.9","0","0","0","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","2816318","Chopstick Noodles Deshi Masala 744g","190.48","0","0","0","1","0","0","0","0","1","0","0","0","190.48","0","0","0","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","2816320","Ruchi Jhal Chanachur 500g","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","3017016","Santor Soap 100g BD(BOGOF)","5935.17","0","0","0","1","0","0","0","0","89","0","0","0","66.69","0","0","0","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","3017024","Meril Milk Soap 100g(Buy3 Get1 Free)","2097.14","0","0","0","1","0","0","0","0","18","0","0","0","116.51","0","0","0","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","3017025","Senora Confidence(Buy2 Get Save tk.60/)","1733.34","0","0","0","1","0","0","0","0","7","0","0","0","247.62","0","0","0","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","3017033","Clear AD A.H.F.Sha.350ml Travel Bag Free","323.81","0","0","0","1","0","0","0","0","1","0","0","0","323.81","0","0","0","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","3017036","CloseUp Fresh Freeze 145g W.Sipper Free","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National","Mr. Shakhawat","C012-Brahmanbaria Outlet","COMPANY GOODS","","","","3017037","CloseUp Cool Mint 145g W.Sipper Free","114.29","0","0","0","1","0","0","0","0","1","0","0","0","114.29","0","0","0","0","0","0","0","0","0","0"
